date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:01	177/177	---M-Z	200	added ('OK')	text/plain	date:Mon,%2031%20Oct%202022%2006:03:00%20GMT	https://www.abports.co.uk/robots.txt		(from )
12:03:02	164820/164820	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2006:03:01%20GMT	https://www.abports.co.uk/	D:/PSPLL/www.abports.co.uk/index.html	(from )
12:03:03	250405/250405	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2006:03:01%20GMT	https://www.abports.co.uk/dist/bundles-styles/main?v=Z1DmIcJllIbaHU7i93v7xzXFT-Uvdnm8mFyTX8ILk3U1	D:/PSPLL/www.abports.co.uk/dist/bundles-styles/mained26.css	(from https://www.abports.co.uk/)
12:03:04	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%224630aa24878d81:0%22	https://www.abports.co.uk/favicon.ico	D:/PSPLL/www.abports.co.uk/favicon.ico	(from https://www.abports.co.uk/)
12:03:04	187710/187710	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2031%20Oct%202022%2006:03:02%20GMT	https://www.abports.co.uk/dist/bundles-scripts?v=WH8rzjvR_nnvrUecRmQYEpFAJ8Qmu0dlNr6CEjRQk4Y1	D:/PSPLL/www.abports.co.uk/dist/bundles-scriptsc5e1	(from https://www.abports.co.uk/)
12:03:05	16/16	---M--	200	added ('OK')	text/javascript	date:Mon,%2031%20Oct%202022%2006:03:04%20GMT	https://secure.care5alea.com/js/149047.js	D:/PSPLL/secure.care5alea.com/js/149047.js	(from https://www.abports.co.uk/)
12:03:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2031%20Oct%202022%2006:03:04%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/PSPLL/www.googletagmanager.com/gtm.45445.delayed	(from https://www.abports.co.uk/)
12:03:05	171/171	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2031%20Oct%202022%2006:03:04%20GMT	http://s7.addthis.com/js/300/addthis_widget.js	D:/PSPLL/s7.addthis.com/js/300/addthis_widget.5.delayed	(from https://www.abports.co.uk/)
12:03:06	361292/361292	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f971164-5834c%22	https://s7.addthis.com/js/300/addthis_widget.js	D:/PSPLL/s7.addthis.com/js/300/addthis_widget.js	(from https://www.abports.co.uk/)
12:03:07	44822/44822	---M-Z	200	added ('OK')	application/javascript	etag:%22af16-58cb4ad8174af-gzip%22	https://cc.cdn.civiccomputing.com/8/cookieControl-8.2.min.js	D:/PSPLL/cc.cdn.civiccomputing.com/8/cookieControl-8.2.min.js	(from https://www.abports.co.uk/)
